nid,name,path,ntype,weight,data,lasttime,faculty
1095375367,EDW_SME_DealLoanAmortization1,spEED.dbo.EDW_SME_DealLoanAmortization1,tbl,18292087,88588440 KB,0,22
535373372,EDW_SME_DealLoan,spEED.dbo.EDW_SME_DealLoan,tbl,18292087,1819464 KB,0,90
503373258,EDW_SME_DealLoanAmortization2,spEED.dbo.EDW_SME_DealLoanAmortization2,tbl,18292004,88588104 KB,0,30
1999554407,Costar_PropertySpace_History,spEED.CMBS.Costar_PropertySpace_History,tbl,17323562,1306032 KB,0,46
545697292,NationStar,spEED.dbo.NationStar,tbl,17170287,16715200 KB,0,72
1846662022,Intex_History_ABHE,spEED.dbo.Intex_History_ABHE,tbl,16710875,3128576 KB,0,32
1510712880,LP_Replines_Cohort_Hist,spEED.dbo.LP_Replines_Cohort_Hist,tbl,15603221,13869568 KB,0,75
1322487790,CUBE_Fact,spEED.dbo.CUBE_Fact,tbl,14478574,2363856 KB,0,33
2029327831,BBrg_Ratings_Change,spEED.dbo.BBrg_Ratings_Change,tbl,14098827,874400 KB,0,50
1507536454,BBrg_BackOffice_Corporates,spEED.dbo.BBrg_BackOffice_Corporates,tbl,12084733,13163984 KB,46:53.4,80
1507536454,BBrg_BackOffice_Corporates,spEED.dbo.BBrg_BackOffice_Corporates,tbl,12084733,13163984 KB,46:53.4,82
1507536454,BBrg_BackOffice_Corporates,spEED.dbo.BBrg_BackOffice_Corporates,tbl,12084733,13163984 KB,46:53.4,46
1507536454,BBrg_BackOffice_Corporates,spEED.dbo.BBrg_BackOffice_Corporates,tbl,12084733,13163984 KB,46:53.4,68
1507536454,BBrg_BackOffice_Corporates,spEED.dbo.BBrg_BackOffice_Corporates,tbl,12084733,13163984 KB,46:53.4,26
1507536454,BBrg_BackOffice_Corporates,spEED.dbo.BBrg_BackOffice_Corporates,tbl,12084733,13163984 KB,46:53.4,59
1494321875,temp_vtg_ref,spEED.dbo.temp_vtg_ref,tbl,11528270,12248136 KB,0,40
2061327945,BBrg_BackOffice_Dups,spEED.dbo.BBrg_BackOffice_Dups,tbl,11229119,957520 KB,0,54
957363321,vantage_ids_staging,spEED.dbo.vantage_ids_staging,tbl,10706351,868976 KB,0,44
1140784463,Vantage_Reference,spEED.dbo.Vantage_Reference,tbl,10706350,11755728 KB,0,97
1096963580,All_CusipAggregates,spEED.dbo.All_CusipAggregates,tbl,10675124,6338200 KB,49:44.0,94
1096963580,All_CusipAggregates,spEED.dbo.All_CusipAggregates,tbl,10675124,6338200 KB,48:28.4,39
1096963580,All_CusipAggregates,spEED.dbo.All_CusipAggregates,tbl,10675124,6338200 KB,48:22.7,12
1096963580,All_CusipAggregates,spEED.dbo.All_CusipAggregates,tbl,10675124,6338200 KB,48:22.7,46
1096963580,All_CusipAggregates,spEED.dbo.All_CusipAggregates,tbl,10675124,6338200 KB,48:28.4,69
1096963580,All_CusipAggregates,spEED.dbo.All_CusipAggregates,tbl,10675124,6338200 KB,48:22.7,97
1096963580,All_CusipAggregates,spEED.dbo.All_CusipAggregates,tbl,10675124,6338200 KB,34:17.4,63
1096963580,All_CusipAggregates,spEED.dbo.All_CusipAggregates,tbl,10675124,6338200 KB,47:11.3,27
1096963580,All_CusipAggregates,spEED.dbo.All_CusipAggregates,tbl,10675124,6338200 KB,48:16.0,10
1096963580,All_CusipAggregates,spEED.dbo.All_CusipAggregates,tbl,10675124,6338200 KB,47:11.3,33
1096963580,All_CusipAggregates,spEED.dbo.All_CusipAggregates,tbl,10675124,6338200 KB,47:11.3,96
1096963580,All_CusipAggregates,spEED.dbo.All_CusipAggregates,tbl,10675124,6338200 KB,34:17.4,23
1096963580,All_CusipAggregates,spEED.dbo.All_CusipAggregates,tbl,10675124,6338200 KB,47:11.3,31
1428356303,All_CusipAggregates,spEED.AGY.All_CusipAggregates,tbl,10675124,6338200 KB,49:44.0,48
1428356303,All_CusipAggregates,spEED.AGY.All_CusipAggregates,tbl,10675124,6338200 KB,48:28.4,90
1428356303,All_CusipAggregates,spEED.AGY.All_CusipAggregates,tbl,10675124,6338200 KB,48:22.7,98
1428356303,All_CusipAggregates,spEED.AGY.All_CusipAggregates,tbl,10675124,6338200 KB,48:22.7,75
1428356303,All_CusipAggregates,spEED.AGY.All_CusipAggregates,tbl,10675124,6338200 KB,48:28.4,29
1428356303,All_CusipAggregates,spEED.AGY.All_CusipAggregates,tbl,10675124,6338200 KB,48:22.7,11
1428356303,All_CusipAggregates,spEED.AGY.All_CusipAggregates,tbl,10675124,6338200 KB,34:17.4,26
1428356303,All_CusipAggregates,spEED.AGY.All_CusipAggregates,tbl,10675124,6338200 KB,47:11.3,85
1428356303,All_CusipAggregates,spEED.AGY.All_CusipAggregates,tbl,10675124,6338200 KB,48:16.0,12
1428356303,All_CusipAggregates,spEED.AGY.All_CusipAggregates,tbl,10675124,6338200 KB,47:11.3,35
1428356303,All_CusipAggregates,spEED.AGY.All_CusipAggregates,tbl,10675124,6338200 KB,47:11.3,90
1428356303,All_CusipAggregates,spEED.AGY.All_CusipAggregates,tbl,10675124,6338200 KB,34:17.4,97
1428356303,All_CusipAggregates,spEED.AGY.All_CusipAggregates,tbl,10675124,6338200 KB,47:11.3,79
1257237171,All_CusipAggregates_Backup,spEED.AGY.All_CusipAggregates_Backup,tbl,10675124,6338208 KB,23:26.6,53
932966450,Markit_Emea_Cash_Contributions,spEED.dbo.Markit_Emea_Cash_Contributions,tbl,10644414,3741120 KB,01:01.1,47
932966450,Markit_Emea_Cash_Contributions,spEED.dbo.Markit_Emea_Cash_Contributions,tbl,10644414,3741120 KB,01:01.1,39
107993053,All_CusipAggregates_LatestBackup,spEED.AGY.All_CusipAggregates_LatestBackup,tbl,10633016,5713600 KB,0,74
139993167,All_CusipAggregates_LatestBackup,spEED.dbo.All_CusipAggregates_LatestBackup,tbl,10633016,5713600 KB,0,11
27992768,All_CusipAggregates_T0_Backup,spEED.AGY.All_CusipAggregates_T0_Backup,tbl,10632976,5713680 KB,0,95
59992882,All_CusipAggregates_T0_Backup,spEED.dbo.All_CusipAggregates_T0_Backup,tbl,10632976,5713680 KB,0,80
149080513,vantage_ids_staging_bak,spEED.dbo.vantage_ids_staging_bak,tbl,10586567,592032 KB,0,70
96107483,CLO_Deal_Stats_History,spEED.CDO.CLO_Deal_Stats_History,tbl,10439574,2080136 KB,0,63
369540500,Poly_GSM_Closes,spEED.dbo.Poly_GSM_Closes,tbl,9706730,1097040 KB,27:28.8,44
1669281402,Trepp_Loan_historyNew,spEED.dbo.Trepp_Loan_historyNew,tbl,9521856,18114432 KB,32:48.1,29
1669281402,Trepp_Loan_historyNew,spEED.dbo.Trepp_Loan_historyNew,tbl,9521856,18114432 KB,32:48.1,93
1669281402,Trepp_Loan_historyNew,spEED.dbo.Trepp_Loan_historyNew,tbl,9521856,18114432 KB,32:48.1,72
361156432,Trepp_Pricing_Hamper,spEED.CMBS.Trepp_Pricing_Hamper,tbl,9196903,1104088 KB,15:34.7,44
669882845,LP_Collat_History,spEED.dbo.LP_Collat_History,tbl,9070287,3566184 KB,0,29
1037884156,CoStar_Tenant,spEED.CMBS.CoStar_Tenant,tbl,9028161,2447560 KB,0,41
76579361,tempLoans,spEED.dbo.tempLoans,tbl,8283186,607080 KB,0,18
557882446,LP_Collat_Raw,spEED.dbo.LP_Collat_Raw,tbl,7340920,4051688 KB,0,43
211024033,PPR_MarketDataGenie,spEED.CMBS.PPR_MarketDataGenie,tbl,6746534,1944344 KB,0,85
2005907259,Intex_CollatStats_History,spEED.dbo.Intex_CollatStats_History,tbl,6587480,596048 KB,53:12.2,44
2005907259,Intex_CollatStats_History,spEED.dbo.Intex_CollatStats_History,tbl,6587480,596048 KB,53:12.2,35
1726290301,Intex_Collat_History_RMBS,spEED.dbo.Intex_Collat_History_RMBS,tbl,6366035,4231480 KB,0,86
1385771994,OFHEO_ZipToIndexMapping,spEED.dbo.OFHEO_ZipToIndexMapping,tbl,6319580,413696 KB,0,57
57936174,Intex_Deal_History,spEED.dbo.Intex_Deal_History,tbl,5501889,782336 KB,26:51.0,89
1021884099,LP_Collat_History_Postpayoff,spEED.dbo.LP_Collat_History_Postpayoff,tbl,5324315,3746512 KB,0,18
281768061,LP_HPI_County,spEED.dbo.LP_HPI_County,tbl,5267939,1013520 KB,30:36.3,86
1053884213,CoStar_Property,spEED.CMBS.CoStar_Property,tbl,4583478,1782448 KB,0,14
35583265,Markit_FixedContributions,spEED.dbo.Markit_FixedContributions,tbl,4567658,783080 KB,06:06.4,14
35583265,Markit_FixedContributions,spEED.dbo.Markit_FixedContributions,tbl,4567658,783080 KB,06:06.4,81
1494712823,LP_Loanagg_Cohort_Hist,spEED.dbo.LP_Loanagg_Cohort_Hist,tbl,4441312,5922192 KB,0,90
1983554350,Costar_PropertyShoppingCenters_History,spEED.CMBS.Costar_PropertyShoppingCenters_History,tbl,4364053,420768 KB,0,14
1154519592,EDW_LES_DealLoanPerformance,spEED.dbo.EDW_LES_DealLoanPerformance,tbl,4294034,2181480 KB,0,58
1186519706,EDW_LES_DealLoanLeaseLevelInformation,spEED.dbo.EDW_LES_DealLoanLeaseLevelInformation,tbl,4294034,3289352 KB,0,31
1218519820,EDW_LES_DealLoanInterestRate,spEED.dbo.EDW_LES_DealLoanInterestRate,tbl,4294034,944544 KB,0,39
1250519934,EDW_LES_DealLoanFinancials,spEED.dbo.EDW_LES_DealLoanFinancials,tbl,4294034,1077456 KB,0,89
1282520048,EDW_LES_DealLoanCollateral,spEED.dbo.EDW_LES_DealLoanCollateral,tbl,4294034,2053016 KB,0,86
1314520162,EDW_LES_DealLoanCharacteristics,spEED.dbo.EDW_LES_DealLoanCharacteristics,tbl,4294034,1864360 KB,0,30
1346520276,EDW_LES_DealLoan,spEED.dbo.EDW_LES_DealLoan,tbl,4294034,458488 KB,0,16
1085884327,CoStar_Comps,spEED.CMBS.CoStar_Comps,tbl,4261873,2934168 KB,0,13
1069884270,CoStar_PropertySpaceTrans,spEED.CMBS.CoStar_PropertySpaceTrans,tbl,4131935,865384 KB,0,24
2088602729,Ratings_SMC,spEED.dbo.Ratings_SMC,tbl,3939954,141216 KB,02:56.6,44
2088602729,Ratings_SMC,spEED.dbo.Ratings_SMC,tbl,3939954,141216 KB,02:56.6,80
682133871,Intex_SymVars,spEED.dbo.Intex_SymVars,tbl,3900079,238088 KB,32:59.8,99
682133871,Intex_SymVars,spEED.dbo.Intex_SymVars,tbl,3900079,238088 KB,32:59.8,100
1948690140,SBC_Loan_Level_Collateral,spEED.dbo.SBC_Loan_Level_Collateral,tbl,3727656,4934128 KB,0,58
179023919,PPR_BaseCase,spEED.CMBS.PPR_BaseCase,tbl,3673953,1038944 KB,33:10.2,17
1900689969,SBC_Loan_Level_Collateral_Staging,spEED.dbo.SBC_Loan_Level_Collateral_Staging,tbl,3643440,4874280 KB,0,63
1876462009,RPT_MU_AGGREGATE,spEED.dbo.RPT_MU_AGGREGATE,tbl,3456440,669760 KB,0,41
1897370124,CRM_Activity_Employees,spEED.dbo.CRM_Activity_Employees,tbl,3285226,243240 KB,20:09.5,60
482725418,CVA_Oasys,spEED.dbo.CVA_Oasys,tbl,3247388,1707736 KB,0,16
115179856,Intex_History_WLEU,spEED.dbo.Intex_History_WLEU,tbl,3243888,498144 KB,30:18.7,34
916966393,Markit_Emea_Cash_Composite,spEED.dbo.Markit_Emea_Cash_Composite,tbl,3214463,1186048 KB,01:01.0,76
916966393,Markit_Emea_Cash_Composite,spEED.dbo.Markit_Emea_Cash_Composite,tbl,3214463,1186048 KB,01:01.0,44
1961370352,CRM_Activities,spEED.dbo.CRM_Activities,tbl,2873234,468312 KB,20:17.5,34
263671987,LP_Aggregate_County_Performance,spEED.dbo.LP_Aggregate_County_Performance,tbl,2854293,681872 KB,33:46.0,17
559861607,Model_Losses_Tranche,spEED.CMBS.Model_Losses_Tranche,tbl,2601232,732128 KB,0,40
1877998167,EMBS_SEC,spEED.dbo.EMBS_SEC,tbl,2593998,663120 KB,0,11
1849070369,Moringstar_Property,spEED.dbo.Moringstar_Property,tbl,2566866,1742632 KB,0,63
1576965290,Intex_SecurityID_Staging,spEED.dbo.Intex_SecurityID_Staging,tbl,2511127,307384 KB,0,34
1956410239,Intex_SecurityID,spEED.dbo.Intex_SecurityID,tbl,2511127,213696 KB,22:24.0,83
1956410239,Intex_SecurityID,spEED.dbo.Intex_SecurityID,tbl,2511127,213696 KB,34:16.0,45
1956410239,Intex_SecurityID,spEED.dbo.Intex_SecurityID,tbl,2511127,213696 KB,01:32.4,28
621245268,LP_HPI_CBSA,spEED.dbo.LP_HPI_CBSA,tbl,2412256,573968 KB,33:46.5,88
621245268,LP_HPI_CBSA,spEED.dbo.LP_HPI_CBSA,tbl,2412256,573968 KB,33:46.5,10
1298259830,SpecPools_Aggregates,spEED.AGY.SpecPools_Aggregates,tbl,2343024,2414336 KB,49:53.9,60
1298259830,SpecPools_Aggregates,spEED.AGY.SpecPools_Aggregates,tbl,2343024,2414336 KB,49:58.0,74
91992996,SpecPools_Aggregates_LatestBackup,spEED.AGY.SpecPools_Aggregates_LatestBackup,tbl,2340004,2410776 KB,0,64
11992711,SpecPools_Aggregates_T0_Backup,spEED.AGY.SpecPools_Aggregates_T0_Backup,tbl,2339960,2410664 KB,0,10
737437701,ResearchVectors_Archive,spEED.dbo.ResearchVectors_Archive,tbl,2298042,4039576 KB,0,39
1296163813,MP_Pool,spEED.AGY.MP_Pool,tbl,2232882,688632 KB,54:35.7,44
1949302054,EMAXX_Holding,spEED.dbo.EMAXX_Holding,tbl,2204909,166056 KB,0,63
71671303,BBrg_Ratings_Change_bb,spEED.dbo.BBrg_Ratings_Change_bb,tbl,2181147,121040 KB,46:53.2,62
71671303,BBrg_Ratings_Change_bb,spEED.dbo.BBrg_Ratings_Change_bb,tbl,2181147,121040 KB,46:53.2,99
2137930838,Markit_Emea_ABS_Composite,spEED.dbo.Markit_Emea_ABS_Composite,tbl,2135452,610752 KB,01:01.2,41
1483256439,LP_Loanagg_Deal_bkp,spEED.dbo.LP_Loanagg_Deal_bkp,tbl,2099629,2799512 KB,0,25
473820800,LP_CS_bkp,spEED.dbo.LP_CS_bkp,tbl,2007961,411784 KB,0,100
1817070255,Moringstar_Loan,spEED.dbo.Moringstar_Loan,tbl,1846045,4284592 KB,0,59
1342067967,LP_Loanagg_Cohorts_Custom_dy_Collat,spEED.dbo.LP_Loanagg_Cohorts_Custom_dy_Collat,tbl,1844454,388312 KB,0,84
943042841,Empirasign_BulkData,spEED.dbo.Empirasign_BulkData,tbl,1649260,243624 KB,0,70
2132671141,IDS_CusipsMapping,spEED.dbo.IDS_CusipsMapping,tbl,1605773,68184 KB,0,23
1989334597,AMC_Client,spEED.dbo.AMC_Client,tbl,1568181,249224 KB,00:13.1,85
178229277,FutureOption_CusipAggregates_LatestBackup,spEED.dbo.FutureOption_CusipAggregates_LatestBackup,tbl,1465299,269208 KB,0,88
1685710645,FutureOption_CusipAggregates_T0_Backup,spEED.dbo.FutureOption_CusipAggregates_T0_Backup,tbl,1463378,268888 KB,0,96
241344570,Intex_TRBlock_Detail,spEED.dbo.Intex_TRBlock_Detail,tbl,1461869,448288 KB,33:00.0,27
1098135353,Intex_Collat_Bonds_2,spEED.dbo.Intex_Collat_Bonds_2,tbl,1450379,2912488 KB,32:59.1,83
1098135353,Intex_Collat_Bonds_2,spEED.dbo.Intex_Collat_Bonds_2,tbl,1450379,2912488 KB,32:59.1,76
1082135296,Intex_Collat_Bonds_1,spEED.dbo.Intex_Collat_Bonds_1,tbl,1450377,2911320 KB,32:59.1,77
1082135296,Intex_Collat_Bonds_1,spEED.dbo.Intex_Collat_Bonds_1,tbl,1450377,2911320 KB,32:59.1,75
1082135296,Intex_Collat_Bonds_1,spEED.dbo.Intex_Collat_Bonds_1,tbl,1450377,2911320 KB,32:59.1,53
1082135296,Intex_Collat_Bonds_1,spEED.dbo.Intex_Collat_Bonds_1,tbl,1450377,2911320 KB,32:59.1,62
1831781683,Staging_TempDealAggregates,spEED.CDO.Staging_TempDealAggregates,tbl,1448858,261448 KB,10:06.9,35
1831781683,Staging_TempDealAggregates,spEED.CDO.Staging_TempDealAggregates,tbl,1448858,261448 KB,19:03.2,85
1831781683,Staging_TempDealAggregates,spEED.CDO.Staging_TempDealAggregates,tbl,1448858,261448 KB,30:57.3,100
1831781683,Staging_TempDealAggregates,spEED.CDO.Staging_TempDealAggregates,tbl,1448858,261448 KB,34:08.0,86
1831781683,Staging_TempDealAggregates,spEED.CDO.Staging_TempDealAggregates,tbl,1448858,261448 KB,04:53.5,16
2110734672,Staging_TempDealAggregates,spEED.EURO.Staging_TempDealAggregates,tbl,1448858,261448 KB,10:06.9,47
2110734672,Staging_TempDealAggregates,spEED.EURO.Staging_TempDealAggregates,tbl,1448858,261448 KB,19:03.2,86
2110734672,Staging_TempDealAggregates,spEED.EURO.Staging_TempDealAggregates,tbl,1448858,261448 KB,30:57.3,93
2110734672,Staging_TempDealAggregates,spEED.EURO.Staging_TempDealAggregates,tbl,1448858,261448 KB,34:08.0,89
2110734672,Staging_TempDealAggregates,spEED.EURO.Staging_TempDealAggregates,tbl,1448858,261448 KB,04:53.5,91
491304960,HamperSubmission_Retire,spEED.dbo.HamperSubmission_Retire,tbl,1434668,102840 KB,0,69
705437587,ResearchVectors,spEED.dbo.ResearchVectors,tbl,1422983,962664 KB,0,72
771585887,ResearchVectors,spEED.CMBS.ResearchVectors,tbl,1422983,962664 KB,0,75
1978034378,LP_repline_LP_CS,spEED.dbo.LP_repline_LP_CS,tbl,1420465,228216 KB,0,90
1093578934,CS_MonthlyIndex,spEED.dbo.CS_MonthlyIndex,tbl,1400849,72304 KB,07:00.8,87
1093578934,CS_MonthlyIndex,spEED.dbo.CS_MonthlyIndex,tbl,1400849,72304 KB,07:00.8,44
1093578934,CS_MonthlyIndex,spEED.dbo.CS_MonthlyIndex,tbl,1400849,72304 KB,00:00.8,85
1093578934,CS_MonthlyIndex,spEED.dbo.CS_MonthlyIndex,tbl,1400849,72304 KB,00:00.8,49
85444670,GENESIS_Securitization_Tranche,spEED.dbo.GENESIS_Securitization_Tranche,tbl,1398592,127976 KB,0,12
1905545972,SBC_Series_Level_Collateral,spEED.dbo.SBC_Series_Level_Collateral,tbl,1367031,2187256 KB,0,93
2038662706,Intex_History_ABCD,spEED.dbo.Intex_History_ABCD,tbl,1351212,80816 KB,0,53
1915257978,LP_Loanagg_Cohort,spEED.dbo.LP_Loanagg_Cohort,tbl,1341906,1832888 KB,0,55
1101884384,Costar_PropertySpace,spEED.CMBS.Costar_PropertySpace,tbl,1301835,182824 KB,0,98
948966507,Markit_Emea_Cash_DataQuality,spEED.dbo.Markit_Emea_Cash_DataQuality,tbl,1282380,420744 KB,01:01.2,45
19583208,Markit_FixedComposite,spEED.dbo.Markit_FixedComposite,tbl,1274194,240856 KB,06:01.5,72
19583208,Markit_FixedComposite,spEED.dbo.Markit_FixedComposite,tbl,1274194,240856 KB,06:01.5,69
19583208,Markit_FixedComposite,spEED.dbo.Markit_FixedComposite,tbl,1274194,240856 KB,06:01.5,85
1095791807,Morningstar_LoanReserves,spEED.dbo.Morningstar_LoanReserves,tbl,1240846,331160 KB,0,82
1440164326,IPREO_Fund_Holding,spEED.dbo.IPREO_Fund_Holding,tbl,1228116,60352 KB,51:32.3,69
